# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.4222e+01 2.6245e-06 -1.8206e-07 2.6308e-06 -3.9018e-06 -1.9813e-07 3.9069e-06 -3.0435e-07 2.6569e-06 2.6743e-06 -1.1579e-04 -1.2065e-04 1.6722e-04 3.7318e-04 3.9770e-04 5.4537e-04 2.9681e-04 -2.7842e-04 4.0695e-04
2.3545e+01 -2.4885e-06 -1.2215e-08 2.4885e-06 3.6668e-06 4.6046e-07 3.6956e-06 4.0256e-08 -2.8843e-06 2.8846e-06 1.1292e-04 1.1766e-04 1.6308e-04 -3.6395e-04 -3.8785e-04 5.3187e-04 -2.8972e-04 2.7177e-04 3.9724e-04
2.2898e+01 2.6858e-06 -2.7611e-07 2.6999e-06 -4.0089e-06 -7.0423e-08 4.0095e-06 -4.2849e-07 2.5346e-06 2.5705e-06 -1.1020e-04 -1.1481e-04 1.5914e-04 3.5516e-04 3.7846e-04 5.1901e-04 2.8303e-04 -2.6550e-04 3.8807e-04
2.2281e+01 -2.3932e-06 -1.4457e-07 2.3975e-06 3.5027e-06 6.3877e-07 3.5605e-06 -1.4170e-07 -3.0331e-06 3.0364e-06 1.0760e-04 1.1210e-04 1.5538e-04 -3.4679e-04 -3.6952e-04 5.0676e-04 -2.7669e-04 2.5956e-04 3.7938e-04
2.1691e+01 2.8079e-06 -4.5874e-07 2.8451e-06 -4.2213e-06 1.7705e-07 4.2251e-06 -6.7225e-07 2.3070e-06 2.4029e-06 -1.0511e-04 -1.0951e-04 1.5179e-04 3.3879e-04 3.6097e-04 4.9505e-04 2.7072e-04 -2.5397e-04 3.7120e-04
2.1126e+01 -2.2170e-06 -3.9354e-07 2.2517e-06 3.1988e-06 9.7469e-07 3.3440e-06 -4.8137e-07 -3.3222e-06 3.3569e-06 1.0275e-04 1.0704e-04 1.4838e-04 -3.3117e-04 -3.5283e-04 4.8391e-04 -2.6504e-04 2.4865e-04 3.6341e-04
2.0584e+01 3.0345e-06 -7.9279e-07 3.1363e-06 -4.6147e-06 6.2922e-07 4.6574e-06 -1.1206e-06 1.8992e-06 2.2052e-06 -1.0048e-04 -1.0467e-04 1.4510e-04 3.2386e-04 3.4501e-04 4.7320e-04 2.5970e-04 -2.4365e-04 3.5611e-04
2.0065e+01 -1.9066e-06 -8.3673e-07 2.0821e-06 2.6624e-06 1.5731e-06 3.0924e-06 -1.0837e-06 -3.8448e-06 3.9946e-06 9.8325e-05 1.0242e-04 1.4198e-04 -3.1692e-04 -3.3759e-04 4.6304e-04 -2.5460e-04 2.3886e-04 3.4911e-04
1.9565e+01 3.4312e-06 -1.3730e-06 3.6957e-06 -5.3026e-06 1.4142e-06 5.4879e-06 -1.9017e-06 1.1980e-06 2.2476e-06 -9.6239e-05 -1.0025e-04 1.3897e-04 3.1020e-04 3.3042e-04 4.5321e-04 2.4984e-04 -2.3441e-04 3.4258e-04
1.9086e+01 -1.3829e-06 -1.5887e-06 2.1063e-06 1.7567e-06 2.5890e-06 3.1287e-06 -2.1035e-06 -4.7377e-06 5.1837e-06 9.4272e-05 9.8193e-05 1.3612e-04 -3.0387e-04 -3.2364e-04 4.4393e-04 -2.4522e-04 2.3008e-04 3.3626e-04
