# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.3730e+01 -1.3541e-07 -3.2641e-07 3.5338e-07 1.4159e-07 5.0531e-07 5.2477e-07 1.3142e-07 -4.9458e-08 1.4042e-07 1.5061e-07 -1.5625e-07 2.1702e-07 -1.9461e-07 2.5683e-07 3.2223e-07 1.6597e-07 1.4669e-07 2.2150e-07
2.3133e+01 5.9927e-08 1.1240e-07 1.2738e-07 -6.8317e-08 -1.7637e-07 1.8914e-07 -4.5957e-07 1.2244e-07 4.7560e-07 -1.5149e-07 1.3461e-07 2.0266e-07 1.9978e-07 -2.2507e-07 3.0094e-07 -1.8746e-07 -1.3323e-07 2.2998e-07
2.2563e+01 -1.6667e-07 -4.1516e-07 4.4737e-07 1.7189e-07 6.4173e-07 6.6435e-07 -6.5683e-09 -1.8570e-08 1.9697e-08 1.4160e-07 -1.5692e-07 2.1136e-07 -1.8125e-07 2.5619e-07 3.1382e-07 1.4657e-07 1.4387e-07 2.0539e-07
2.2019e+01 1.7503e-08 -7.8001e-09 1.9163e-08 -2.7115e-08 8.3761e-09 2.8379e-08 -6.4277e-07 1.6306e-07 6.6314e-07 -1.4725e-07 1.1791e-07 1.8863e-07 1.9651e-07 -1.9965e-07 2.8014e-07 -1.9381e-07 -1.2110e-07 2.2853e-07
2.1497e+01 -2.2242e-07 -5.7338e-07 6.1501e-07 2.2597e-07 8.8490e-07 9.1330e-07 -2.5124e-07 3.6068e-08 2.5382e-07 1.3177e-07 -1.6410e-07 2.1046e-07 -1.6551e-07 2.6500e-07 3.1243e-07 1.1960e-07 1.4495e-07 1.8792e-07
2.0998e+01 -5.5839e-08 -2.1568e-07 2.2279e-07 4.4095e-08 3.2789e-07 3.3084e-07 -9.6084e-07 2.3372e-07 9.8886e-07 -1.4546e-07 9.4360e-08 1.7338e-07 1.9810e-07 -1.6459e-07 2.5755e-07 -2.1156e-07 -1.0554e-07 2.3642e-07
2.0519e+01 -3.1674e-07 -8.4096e-07 8.9863e-07 3.1747e-07 1.2962e-06 1.3345e-06 -6.6390e-07 1.2811e-07 6.7615e-07 1.2019e-07 -1.8110e-07 2.1735e-07 -1.4544e-07 2.8796e-07 3.2261e-07 8.0120e-08 1.5168e-07 1.7154e-07
2.0060e+01 -1.7676e-07 -5.5848e-07 5.8578e-07 1.6148e-07 8.5478e-07 8.6990e-07 -1.4864e-06 3.5058e-07 1.5272e-06 -1.4706e-07 5.9902e-08 1.5879e-07 2.0662e-07 -1.1404e-07 2.3600e-07 -2.4634e-07 -8.4290e-08 2.6036e-07
1.9619e+01 -4.6917e-07 -1.2733e-06 1.3570e-06 4.6536e-07 1.9607e-06 2.0152e-06 -1.3297e-06 2.7650e-07 1.3582e-06 1.0562e-07 -2.1254e-07 2.3733e-07 -1.1841e-07 3.3170e-07 3.5220e-07 2.1326e-08 1.6656e-07 1.6792e-07
1.9194e+01 -3.6796e-07 -1.1006e-06 1.1605e-06 3.4707e-07 1.6880e-06 1.7233e-06 -2.3184e-06 5.3568e-07 2.3795e-06 -1.5336e-07 9.0195e-09 1.5362e-07 2.2498e-07 -4.0103e-08 2.2852e-07 -3.0588e-07 -5.4311e-08 3.1066e-07
1.8786e+01 -7.0586e-07 -1.9447e-06 2.0688e-06 6.9502e-07 2.9926e-06 3.0722e-06 -2.3627e-06 5.0665e-07 2.4164e-06 8.6424e-08 -2.6465e-07 2.7841e-07 -8.0892e-08 4.0509e-07 4.1309e-07 -6.5841e-08 1.9296e-07 2.0388e-07
1.8393e+01 -6.5933e-07 -1.9268e-06 2.0365e-06 6.2987e-07 2.9579e-06 3.0242e-06 -3.5872e-06 8.1802e-07 3.6793e-06 -1.6609e-07 -6.5522e-08 1.7854e-07 2.5703e-07 6.7571e-08 2.6576e-07 -4.0037e-07 -1.1618e-08 4.0053e-07
1.8014e+01 -1.0607e-06 -2.9511e-06 3.1360e-06 1.0394e-06 4.5395e-06 4.6570e-06 -3.9106e-06 8.5145e-07 4.0022e-06 6.0530e-08 -3.4554e-07 3.5080e-07 -2.8381e-08 5.1971e-07 5.2048e-07 -1.9309e-07 2.3528e-07 3.0437e-07
1.7648e+01 -1.0891e-06 -3.1453e-06 3.3285e-06 1.0470e-06 4.8308e-06 4.9430e-06 -5.4593e-06 1.2347e-06 5.5972e-06 -1.8750e-07 -1.7294e-07 2.5508e-07 3.0773e-07 2.2218e-07 3.7955e-07 -5.4286e-07 4.8849e-08 5.4505e-07
1.7295e+01 -1.5765e-06 -4.4139e-06 4.6870e-06 1.5399e-06 6.7879e-06 6.9604e-06 -6.1598e-06 1.3524e-06 6.3066e-06 2.5321e-08 -4.6542e-07 4.6611e-07 4.4790e-08 6.9016e-07 6.9162e-07 -3.7517e-07 2.9908e-07 4.7979e-07
1.6954e+01 -1.7047e-06 -4.8911e-06 5.1797e-06 1.6445e-06 7.5141e-06 7.6920e-06 -8.1418e-06 1.8318e-06 8.3453e-06 -2.2041e-07 -3.2470e-07 3.9244e-07 3.8325e-07 4.4011e-07 5.8359e-07 -7.4964e-07 1.3337e-07 7.6141e-07
1.6625e+01 -2.3058e-06 -6.4822e-06 6.8801e-06 2.2476e-06 9.9668e-06 1.0217e-05 -9.3395e-06 2.0605e-06 9.5641e-06 -2.2396e-08 -6.3690e-07 6.3729e-07 1.4557e-07 9.3446e-07 9.4573e-07 -6.3018e-07 3.9122e-07 7.4174e-07
1.6306e+01 -2.5641e-06 -7.3281e-06 7.7637e-06 2.4785e-06 1.1260e-05 1.1529e-05 -1.1887e-05 2.6655e-06 1.2182e-05 -2.6826e-07 -5.3471e-07 5.9823e-07 4.9116e-07 7.4129e-07 8.8924e-07 -1.0405e-06 2.4958e-07 1.0700e-06
1.5998e+01 -3.3119e-06 -9.3354e-06 9.9054e-06 3.2240e-06 1.4352e-05 1.4710e-05 -1.3725e-05 3.0372e-06 1.4057e-05 -8.6456e-08 -8.7514e-07 8.7940e-07 2.8230e-07 1.2743e-06 1.3052e-06 -9.7991e-07 5.1997e-07 1.1093e-06
1.5699e+01 -3.7361e-06 -1.0652e-05 1.1288e-05 3.6160e-06 1.6368e-05 1.6763e-05 -1.6995e-05 3.8026e-06 1.7415e-05 -3.3516e-07 -8.1958e-07 8.8547e-07 6.4045e-07 1.1494e-06 1.3158e-06 -1.4392e-06 4.0655e-07 1.4955e-06
1.5410e+01 -4.6695e-06 -1.3185e-05 1.3988e-05 4.5414e-06 2.0270e-05 2.0772e-05 -1.9643e-05 4.3549e-06 2.0120e-05 -1.7138e-07 -1.1981e-06 1.2103e-06 4.6484e-07 1.7353e-06 1.7965e-06 -1.4501e-06 6.9512e-07 1.6081e-06
1.5129e+01 -5.3016e-06 -1.5091e-05 1.5995e-05 5.1352e-06 2.3192e-05 2.3753e-05 -2.3818e-05 5.3216e-06 2.4405e-05 -4.2593e-07 -1.1987e-06 1.2721e-06 8.4169e-07 1.6923e-06 1.8901e-06 -1.9732e-06 6.1490e-07 2.0668e-06
1.4857e+01 -6.4655e-06 -1.8279e-05 1.9388e-05 6.2843e-06 2.8098e-05 2.8792e-05 -2.7472e-05 6.0981e-06 2.8141e-05 -2.8240e-07 -1.6265e-06 1.6509e-06 7.0461e-07 2.3472e-06 2.4507e-06 -2.0705e-06 9.2803e-07 2.2690e-06
1.4593e+01 -7.3534e-06 -2.0910e-05 2.2165e-05 7.1265e-06 3.2135e-05 3.2916e-05 -3.2761e-05 7.3126e-06 3.3567e-05 -5.4613e-07 -1.6945e-06 1.7803e-06 1.1070e-06 2.4020e-06 2.6448e-06 -2.6747e-06 8.8686e-07 2.8179e-06
1.4336e+01 -8.7991e-06 -2.4896e-05 2.6406e-05 8.5490e-06 3.8270e-05 3.9213e-05 -3.7644e-05 8.3631e-06 3.8562e-05 -4.2551e-07 -2.1843e-06 2.2254e-06 1.0147e-06 3.1441e-06 3.3038e-06 -2.8753e-06 1.2317e-06 3.1281e-06
1.4087e+01 -9.9974e-06 -2.8407e-05 3.0115e-05 9.6925e-06 4.3659e-05 4.4722e-05 -4.4285e-05 9.8783e-06 4.5373e-05 -7.0209e-07 -2.3323e-06 2.4357e-06 1.4504e-06 3.3147e-06 3.6181e-06 -3.5797e-06 1.2363e-06 3.7872e-06
1.3845e+01 -1.1783e-05 -3.3357e-05 3.5377e-05 1.1444e-05 5.1274e-05 5.2536e-05 -5.0649e-05 1.1259e-05 5.1885e-05 -6.0746e-07 -2.8984e-06 2.9614e-06 1.4098e-06 4.1646e-06 4.3968e-06 -3.9032e-06 1.6209e-06 4.2264e-06
1.3609e+01 -1.3352e-05 -3.7921e-05 4.0203e-05 1.2948e-05 5.8282e-05 5.9703e-05 -5.8907e-05 1.3134e-05 6.0354e-05 -9.0093e-07 -3.1407e-06 3.2674e-06 1.8872e-06 4.4713e-06 4.8532e-06 -4.7292e-06 1.6789e-06 5.0184e-06
1.3380e+01 -1.5541e-05 -4.4016e-05 4.6679e-05 1.5092e-05 6.7657e-05 6.9320e-05 -6.7031e-05 1.4906e-05 6.8669e-05 -8.3579e-07 -3.7989e-06 3.8898e-06 1.9064e-06 5.4516e-06 5.7753e-06 -5.1971e-06 2.1119e-06 5.6098e-06
1.3157e+01 -1.7549e-05 -4.9824e-05 5.2824e-05 1.7022e-05 7.6577e-05 7.8446e-05 -7.7202e-05 1.7207e-05 7.9097e-05 -1.1505e-06 -4.1513e-06 4.3078e-06 2.4349e-06 5.9170e-06 6.3984e-06 -6.1683e-06 2.2319e-06 6.5597e-06
1.2939e+01 -2.0213e-05 -5.7265e-05 6.0727e-05 1.9626e-05 8.8020e-05 9.0182e-05 -8.7394e-05 1.9440e-05 8.9530e-05 -1.1188e-06 -4.9189e-06 5.0445e-06 2.5226e-06 7.0525e-06 7.4901e-06 -6.8044e-06 2.7230e-06 7.3291e-06
1.2727e+01 -2.2734e-05 -6.4527e-05 6.8414e-05 2.2053e-05 9.9175e-05 1.0160e-04 -9.9801e-05 2.2238e-05 1.0225e-04 -1.4596e-06 -5.3990e-06 5.5928e-06 3.1123e-06 7.7016e-06 8.3067e-06 -7.9467e-06 2.9143e-06 8.4642e-06
1.2521e+01 -2.5949e-05 -7.3532e-05 7.7977e-05 2.5193e-05 1.1302e-04 1.1580e-04 -1.1240e-04 2.5007e-05 1.1515e-04 -1.4657e-06 -6.2948e-06 6.4632e-06 3.2784e-06 9.0194e-06 9.5967e-06 -8.7773e-06 3.4739e-06 9.4398e-06
1.2320e+01 -2.9064e-05 -8.2476e-05 8.7447e-05 2.8196e-05 1.2676e-04 1.2986e-04 -1.2739e-04 2.8381e-05 1.3051e-04 -1.8376e-06 -6.9216e-06 7.1613e-06 3.9401e-06 9.8794e-06 1.0636e-05 -1.0119e-05 3.7468e-06 1.0790e-05
1.2123e+01 -3.2914e-05 -9.3284e-05 9.8921e-05 3.1952e-05 1.4338e-04 1.4690e-04 -1.4276e-04 3.1767e-05 1.4625e-04 -1.8862e-06 -7.9659e-06 8.1862e-06 4.1952e-06 1.1408e-05 1.2155e-05 -1.1172e-05 4.3862e-06 1.2002e-05
1.1932e+01 -3.6709e-05 -1.0416e-04 1.1044e-04 3.5615e-05 1.6009e-04 1.6400e-04 -1.6071e-04 3.5800e-05 1.6465e-04 -2.2947e-06 -8.7600e-06 9.0556e-06 4.9407e-06 1.2509e-05 1.3449e-05 -1.2742e-05 4.7519e-06 1.3600e-05
1.1745e+01 -4.1285e-05 -1.1702e-04 1.2409e-04 4.0075e-05 1.7987e-04 1.8428e-04 -1.7924e-04 3.9890e-05 1.8362e-04 -2.3909e-06 -9.9748e-06 1.0257e-05 5.2963e-06 1.4280e-05 1.5231e-05 -1.4049e-05 5.4831e-06 1.5081e-05
1.1562e+01 -4.5852e-05 -1.3009e-04 1.3793e-04 4.4489e-05 1.9994e-04 2.0483e-04 -2.0057e-04 4.4673e-05 2.0548e-04 -2.8419e-06 -1.0958e-05 1.1321e-05 6.1382e-06 1.5653e-05 1.6813e-05 -1.5881e-05 5.9534e-06 1.6960e-05
1.1383e+01 -5.1249e-05 -1.4528e-04 1.5405e-04 4.9745e-05 2.2330e-04 2.2877e-04 -2.2267e-04 4.9561e-05 2.2812e-04 -2.9914e-06 -1.2367e-05 1.2723e-05 6.6065e-06 1.7700e-05 1.8893e-05 -1.7474e-05 6.7893e-06 1.8747e-05
