# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
1.6625e+01 -5.2206e-07 -8.5037e-07 9.9783e-07 6.7512e-07 1.3149e-06 1.4781e-06 -7.5389e-07 2.8948e-07 8.0756e-07 -4.4624e-05 8.5687e-05 9.6611e-05 7.9682e-05 -1.4655e-04 1.6681e-04 -1.0694e-04 -5.8059e-05 1.2168e-04
1.6306e+01 -2.8295e-07 -6.1134e-07 6.7365e-07 3.4920e-07 9.3471e-07 9.9781e-07 -1.4954e-06 7.3452e-07 1.6660e-06 4.3876e-05 -8.4250e-05 9.4991e-05 -7.8344e-05 1.4409e-04 1.6401e-04 1.0517e-04 5.7096e-05 1.1967e-04
1.5998e+01 -7.3471e-07 -1.2367e-06 1.4385e-06 9.4567e-07 1.9094e-06 2.1307e-06 -1.3490e-06 5.6065e-07 1.4609e-06 -4.3151e-05 8.2856e-05 9.3419e-05 7.7048e-05 -1.4171e-04 1.6130e-04 -1.0349e-04 -5.6178e-05 1.1776e-04
1.5699e+01 -5.4286e-07 -1.0831e-06 1.2116e-06 6.7995e-07 1.6608e-06 1.7946e-06 -2.2210e-06 1.0647e-06 2.4630e-06 4.2456e-05 -8.1523e-05 9.1915e-05 -7.5806e-05 1.3943e-04 1.5870e-04 1.0186e-04 5.5290e-05 1.1590e-04
1.5410e+01 -1.0490e-06 -1.8076e-06 2.0900e-06 1.3456e-06 2.7880e-06 3.0958e-06 -2.2281e-06 9.6113e-07 2.4266e-06 -4.1780e-05 8.0221e-05 9.0449e-05 7.4597e-05 -1.3720e-04 1.5617e-04 -1.0031e-04 -5.4446e-05 1.1414e-04
1.5129e+01 -9.2179e-07 -1.7711e-06 1.9966e-06 1.1621e-06 2.7196e-06 2.9575e-06 -3.2793e-06 1.5463e-06 3.6256e-06 4.1134e-05 -7.8983e-05 8.9052e-05 -7.3441e-05 1.3508e-04 1.5376e-04 9.8800e-05 5.3623e-05 1.1241e-04
1.4857e+01 -1.5020e-06 -2.6302e-06 3.0288e-06 1.9218e-06 4.0540e-06 4.4865e-06 -3.4944e-06 1.5379e-06 3.8179e-06 -4.0502e-05 7.7764e-05 8.7679e-05 7.2310e-05 -1.3300e-04 1.5139e-04 -9.7384e-05 -5.2848e-05 1.1080e-04
1.4593e+01 -1.4612e-06 -2.7504e-06 3.1144e-06 1.8485e-06 4.2267e-06 4.6132e-06 -4.7861e-06 2.2322e-06 5.2811e-06 3.9901e-05 -7.6613e-05 8.6381e-05 -7.1235e-05 1.3103e-04 1.4914e-04 9.5975e-05 5.2084e-05 1.0920e-04
1.4336e+01 -2.1397e-06 -3.7884e-06 4.3509e-06 2.7333e-06 5.8365e-06 6.4448e-06 -5.2772e-06 2.3498e-06 5.7767e-06 -3.9307e-05 7.5467e-05 8.5090e-05 7.0173e-05 -1.2907e-04 1.4692e-04 -9.4678e-05 -5.1371e-05 1.0772e-04
1.4087e+01 -2.2124e-06 -4.1144e-06 4.6716e-06 2.8044e-06 6.3259e-06 6.9197e-06 -6.8852e-06 3.1878e-06 7.5874e-06 3.8748e-05 -7.4398e-05 8.3884e-05 -6.9173e-05 1.2725e-04 1.4483e-04 9.3361e-05 5.0658e-05 1.0622e-04
1.3845e+01 -3.0193e-06 -5.3857e-06 6.1743e-06 3.8524e-06 8.2947e-06 9.1457e-06 -7.7355e-06 3.4693e-06 8.4779e-06 -3.8189e-05 7.3315e-05 8.2665e-05 6.8172e-05 -1.2540e-04 1.4273e-04 -9.2177e-05 -5.0005e-05 1.0487e-04
